isd-41-171-g004	ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of the.ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe with.ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe and
JISP-18-610-g012	preoperative radiograph <EOS>
1477-9560-5-18-5	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
aapm-05-04-26878-g001	a patient with a swelling in the right eye of the patient on the right side <EOS>.a patient with a swelling in the right eye of the patient on the left side <EOS>
pamj-7-4-g001	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
1477-7819-4-37-1	magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right frontal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal region
IPC-2-4-g004	ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right kidney.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right lower.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right lobe
1471-2334-6-72-2	axial ct scan of the brain showing a large lesion in the right frontal lobe and the right frontal lobe.axial ct scan of the brain showing a large lesion in the right frontal lobe and the right parietal lobe.axial ct scan of the brain showing a large lesion in the right frontal lobe and the right parietal region
ijpho-3-083-g003	photomicrograph of the biopsy specimen showing a giant cell carcinoma in the dermis . <EOS>.photomicrograph of the biopsy specimen showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
2050-5736-1-24-4	the patient with the left eye of the patient in a patient with a history of a patient with a.the patient with the left eye of the patient in a patient with a history of a patient in the.the patient with the left eye of the patient in a patient with a history of a patient in a
AIAN-17-161-g002	magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right frontal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal region
JCIS-2-28-g005	intraoperative picture <EOS>
JOMFP-15-80-g001	clinical photograph of the patient in a patient with a swelling of the left eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the right eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the left eye of a patient with a
IJEM-17-265-g005	ultrasound image of the right eye showing a large cystic mass in the right upper lobe of the right kidney.ultrasound image of the right eye showing a large cystic mass in the right upper lobe of the right lobe.ultrasound image of the right eye showing a large cystic mass in the right upper lobe of the right lower
IJRI-25-121-g004	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
iranjradiol-11-11260-g005	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
rado-45-01-22f2	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
SNI-3-93-g002	axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right kidney .
pone.0099990.g004	axial ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.axial ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.axial ct scan of the abdomen showing a large cystic mass in the right upper lobe with a large cystic
jpis-44-79-g003	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrographs of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface in the
arm-37-191-g001	intraoperative photograph of the right eye showing a large right eye with a large cystic lesion in the right lower.intraoperative photograph of the right eye showing a large right eye with a large cystic lesion in the right upper.intraoperative photograph of the right eye showing a large right eye with a large cystic mass in the right lower
1752-1947-5-273-4	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
autopsy-05-01053-g07	preoperative photograph <EOS>
12957_2015_659_Fig2_HTML	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
10.1177_2047981614531755-fig2	magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right frontal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal region
IJD-54-142-g005	clinical photograph of the patient in a patient with a swelling of the left eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the right eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the left eye of a patient with a
JOMFP-17-329-g003	histological section of the tumor showing a giant cell carcinoma in the dermis . <EOS>.histological section of the tumor showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
tropmed-85-583-g002	preoperative photograph <EOS>
cop-0005-0439-g01	ultrasound scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic mass.ultrasound scan of the right eye showing a large mass in the right lower lobe with a large cystic mass.ultrasound scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic lesion
1477-7800-6-13-5	intraoperative view of the resected specimen <EOS>
NJS-18-27-g001	intraoperative view of the lesion <EOS>.intraoperative view of the lesion in the right lower lobe <EOS>.intraoperative view of the lesion in the right lower lobe of the right eye . <EOS>
2186-3326-77-0307-g006	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the right kidney.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the right lower.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the right lobe
IJD-57-329-g003	clinical photograph of the patient in a patient with a swelling of the left eye of a patient with a.clinical photograph of the patient in a patient with a swelling of the right eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the left eye of the patient with a
ASL-31-90-g011	preoperative photograph <EOS>.preoperative view <EOS>
eht02305	intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right lower lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right eye with
crg0001-0007-f04	intraoperative picture <EOS>
cells-01-00325-g001	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrographs of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface in the
1757-1626-2-9131-1	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
1556-276X-6-468-2	ecg of the patient in a patient with a history of the left coronary artery in the left coronary artery.ecg of the patient in a patient with a history of the left coronary artery in the left eye of.ecg of the patient in a patient with a history of the left coronary artery in the right eye of
1471-2415-10-6-2	the patient in a patient with a history of a patient in a patient with a history of a patient.the patient in a patient with a history of a patient in a patient with a history of the left.the patient in a patient with a history of a patient in a patient with a history of the right
crg0002-0380-f01	the lesion is seen in the right lower lobe of the right lower lobe and the right kidney . <EOS>
1470-7330-14-26-1	chest computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the right.chest computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the left.chest computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the abdomen
opth-7-2249Fig1	ultrasound image of the right eye showing a large cystic mass in the right lobe of the right kidney with.ultrasound image of the right eye showing a large cystic mass in the right lobe of the right kidney ..ultrasound image of the right eye showing a large cystic mass in the right lower lobe of the right kidney
IJD-60-325b-g002	histological section of the right eye showing a giant cell carcinoma in the dermis . <EOS>
JISP-18-461-g003	preoperative radiograph <EOS>.preoperative radiograph of the patient showing the presence of bone <EOS>
1476-7120-7-45-1	ultrasound scan of the right eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the left eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe with a large cystic
1476-7120-11-46-1	axial ct scan of the abdomen showing a large mass in the right lobe of the right kidney . <EOS>
1556-276X-9-151-1	sem micrograph of the surface of the surface of the surface of the surface of the surface of the surface.sem micrographs of the surface of the surface of the surface of the surface of the surface of the surface.sem image of the surface of the surface of the surface of the surface of the surface of the surface
usg-15005-f8	ultrasound scan of the right eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the left eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe with a large cystic
jbr-24-01-043-g001	the lesion is seen in the right lobe of the right kidney . <EOS>.the lesion is seen in the right lobe of the right lobe of the right kidney . <EOS>
IJRI-21-28-g002	x-ray of the left knee showing a large right hip and left lower lobe <EOS>.x-ray of the left knee showing a large left hip and left lower lobe <EOS>.x-ray of the left hip showing a large left hip and left lower lobe <EOS>
GMS-09-08-g-007	clinical photograph of the patient in a patient with a patient in a patient with a patient in a patient.clinical photograph of the patient in a patient with a patient in a patient with a patient in the patient.clinical photograph of the patient in a patient with a patient in a patient with a patient in the right
omv00202	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
IJO-59-5-g006	fundus photograph of the right eye of the patient in a patient with a right eye of a patient with.fundus photograph of the right eye of the patient in a patient with a right eye of the left eye.fundus photograph of the right eye of the patient in a patient with a right eye of the patient with
IJRI-22-40-g002	ultrasound image of the right eye showing a large cystic mass in the right upper lobe of the right kidney.ultrasound image of the right eye showing a large cystic mass in the right upper lobe of the right lower.ultrasound image of the right eye showing a large cystic mass in the right upper lobe of the right lobe
1752-1947-1-61-1	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
cde-0006-0176-g01	clinical picture <EOS>
1752-1947-6-425-5	computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe.computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lobe of.computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right kidney with
12967_2014_242_Fig1_HTML	the ecg of the patient in a patient with a history of the left coronary artery in the left coronary.the ecg of the patient in a patient with a history of the left coronary artery in the right coronary.the ecg of the patient in a patient with a history of the left coronary artery and the left coronary
cmj-47-134-g005	axial and coronal ct scan of the abdomen showing a large mass in the right lower lobe of the right.axial and coronal ct scan of the abdomen showing a large mass in the right lower lobe of the left.axial and coronal ct scan of the abdomen showing a large mass in the right lower lobe with a large
AMS-3-25-g004	intraoperative view of the right eye of the patient in a patient with a history of a patient with a.intraoperative view of the right eye of the patient in a patient with a history of a patient in the.intraoperative view of the right eye of the patient in a patient with a history of a patient in a
IJOrtho-47-98-g003	preoperative x-ray of the left knee showing a large right hip and left lower lobe <EOS>.preoperative x-ray of the left knee showing a large left hip and left lower lobe <EOS>.preoperative x-ray of the left knee showing a large right hip and left lower lobe and left lower lobe. <EOS>
eplasty10e27_fig3	clinical photograph of the patient showing a large swelling in the right lower lobe of the right lower lobe and.clinical photograph of the patient showing a large swelling in the right lower lobe of the right lower lobe with.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe with a
rjv09206	intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right lower.intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right upper.intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right eye
medi-94-e1577-g002	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
1748-717X-8-33-4	axial and coronal ct scan of the abdomen showing a large mass in the right lower lobe of the right.axial and coronal ct scan of the abdomen showing a large mass in the right lower lobe of the left.axial and coronal ct scan of the abdomen showing a large mass in the right lobe of the right lower
aps-40-348-g003	clinical photograph of the patient showing the presence of the lesions in the right lower lobe of the right lower.clinical photograph of the patient showing the presence of the lesions in the right lower lobe of the left lower.clinical photograph of the patient showing the presence of the lesions in the right lower lobe of the right upper
1752-1947-5-20-1	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
pone.0096391.g002	axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right kidney .
IJD-57-30-g004	clinical photograph of the patient showing the presence of the lesion in the right lower lobe of the right lower.clinical photograph of the patient showing the presence of the lesion in the right lower lobe of the left lower.clinical photograph of the patient showing the presence of the lesion in the right lower lobe of the right upper
kjae-60-449-g001	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
1752-1947-4-394-1	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
e-69-0m142-fig2	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrographs of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of a
AOG-28-41-g004	the left eye of the patient showed a high signal intensity in the right lobe of the right lobe of.the left eye of the patient showed a high signal intensity in the right lobe of the right kidney with.the left eye of the patient showed a high signal intensity in the right lobe of the right and left
AJNS-7-166-g007	coronary angiography of the left coronary artery shows a large aneurysm in the right coronary artery . <EOS>.coronary angiography of the right coronary artery shows a large aneurysm in the right coronary artery . <EOS>
rt-2015-3-5778-g002	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
vsi-31-20f4	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
1471-230X-10-2-6	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
CCD-4-531-g007	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface in the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of a
1749-7922-7-18-4	coronary angiography of the left coronary artery shows a large aneurysm in the right coronary artery . <EOS>
TODENTJ-6-90_F2	preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the left lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right upper lobe
1471-2407-12-224-1	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
1475-925X-10-26-3	ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount of.ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass in.ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic mass
AJNS-10-327-g005	chest computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the right.chest computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the left.chest computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the abdomen
AJNS-10-195-g005	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
cro-0008-0094-g03	magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right frontal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal region
cde-0004-0170-g01	a patient with a skin lesion in the right lower lobe of the right lower lobe of the patient with.a patient with a skin lesion in the right lower lobe of the right lower lobe of the right eye.a patient with a skin lesion in the right lower lobe of the right lower lobe of the left eye
pone.0093154.g008	scanning electron microscopy images of the surface of the surface of the surface of the surface of the surface of.scanning electron microscopy images of the surface of the surface of the surface of the surface of the surface in.scanning electron microscopy images of the surface of the surface of the surface of the surface of the surface and
JGID-7-119-g001	ct scan of the abdomen showing a large mass in the right lower lobe with a large mass in the.ct scan of the abdomen showing a large mass in the right lower lobe with a large cystic mass in.ct scan of the chest showing a large mass in the right lower lobe with a large cystic mass in
APC-7-52-g003	x-ray of the left eye showing a large left coronary artery and the left coronary artery and the right coronary.x-ray of the right eye showing a large left coronary artery and the left coronary artery and the right coronary.x-ray of the left eye showing a large left coronary artery and the left coronary artery and the left coronary
IJRI-19-135-g008	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
OL-05-02-0699-g01	axial ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.axial ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.axial ct scan of the abdomen showing a large cystic mass in the right upper lobe with a large cystic
1752-1947-4-284-3	intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right lower lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right eye with
13104_2015_1087_Fig4_HTML	axial ct scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe.axial ct scan of the abdomen showing a large mass in the right lower lobe of the right lobe of.axial ct scan of the abdomen showing a large mass in the right lower lobe of the right kidney with
JRMS-14-135-g007	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
12906_2015_928_Fig5_HTML	photomicrograph of the biopsy specimen showing a giant cell carcinoma in the dermis . <EOS>.photomicrograph of the biopsy specimen showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
kjped-57-149-g002	histological section of the liver showing a giant cell carcinoma in the dermis . <EOS>
IJRI-23-354-g022	axial ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.axial ct scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.axial ct scan of the abdomen showing a large cystic mass in the right upper lobe with a large cystic
CCD-2-207-g007	preoperative photograph <EOS>.preoperative view <EOS>
JIAPS-16-158-g002	intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right lower lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right upper lobe
can-2-64f10	scanning electron micrographs of the surface of the surface of the surface of the surface of the surface of the.transmission electron micrographs of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrographs of the surface of the surface of the surface of the surface of the surface in the
1752-1947-1-90-1	preoperative view <EOS>
arh-34-1-38f3	clinical photograph <EOS>.clinical picture <EOS>
ORT-85-474-g002	intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right upper lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right eye with
1757-1626-2-171-2	magnetic resonance imaging of the brain in a patient with a high signal intensity in the right lobe of the.magnetic resonance imaging of the brain in a patient with a high signal intensity in the right frontal lobe and.magnetic resonance imaging of the brain in a patient with a high signal intensity in the left frontal lobe and
sensors-14-14885f3	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrographs of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of a
pr-2013-3-e13-g001	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
IPC-8-17-g023	a patient with a history of a patient in a patient with a history of a patient in a patient.a patient with a history of a patient in a patient with a history of a patient in the patient.a patient with a history of a patient in a patient with a history of a patient in the right
tca0006-0359-f1	ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right lower lobe.ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right lobe of.ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right kidney with
sigs.4488254-f1	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface in the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of a
UA-3-110-g002	intraoperative view of the resected specimen <EOS>
jbm-21-151-g003	x-ray of the left knee showing a large right hip and left lower lobe and left lower lobe. <EOS>.x-ray of the left knee showing a large right hip and left lower lobe and left lower lobe <EOS>.x-ray of the left knee showing a large right hip and left lower lobe and left lower region <EOS>
1746-1596-2-45-1	the tumor cells are seen in the dermis . <EOS>.the tumor cells are seen in the dermis of the dermis . <EOS>.the tumor cells are seen in the dermis of the right kidney . <EOS>
pone.0104543.g006	ecg of the patient in a patient with a history of the left eye of the left eye showing a.ecg of the patient in a patient with a history of the left eye of the left eye showing the.ecg of the patient in a patient with a history of the left eye of the left eye showing no
1752-1947-0003-0000006622-1	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
1752-1947-0003-0000007323-1	ct scan of abdomen <EOS>
JCIS-2-6-g003	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
jds-15-153-g001	preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the left lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right upper lobe
1757-1626-2-30-4	the patient in a patient with a history of a patient in a patient with a history of the left.the patient in a patient with a history of a patient in a patient with a history of the right.the patient in a patient with a history of a patient in a patient with a history of a patient
JCD-12-77-g004	clinical picture <EOS>
1477-7819-11-43-1	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right upper lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and
1746-1596-3-5-9	histological examination of the biopsy showing a giant cell carcinoma in the dermis . <EOS>.histological examination of the biopsy showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
sensors-13-15409f12	scanning electron microscopy image of the surface of the surface of the surface of the surface of the surface of.scanning electron microscopy image of the surface of the surface of the surface of the surface of the surface in.scanning electron microscopy image of the surface of the surface of the surface of the surface of the patient with
