JOMP-14-33-g002	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
DRJ-9-215-g005	histological examination of the right eye showing the presence of the tumor cells in the dermis . <EOS>
jvms-76-435-g004	histological section of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>
1750-1172-4-7-5	photograph of the right eye of the patient in a patient with a patient in a patient with a large.photograph of the right eye of the patient in a patient with a patient in a patient with a patient.photograph of the right eye of the patient in a patient with a patient in a patient with a history
JCIS-3-15-g010	ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right lower lobe.ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right lobe of.ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right kidney with
IJO-62-3-g005	ultrasound scan of the right eye showing a large cystic mass in the right lobe of the right kidney with.ultrasound scan of the right eye showing a large cystic mass in the right lobe of the right kidney ..ultrasound scan of the right eye showing a large cystic mass in the right lower lobe of the right kidney
sensors-15-17329-g008	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrographs of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of a
e-65-o1207-fig4	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of a.scanning electron micrograph of the surface of the surface of the surface of the surface of the left eye of
asj-9-30-g003	computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe.computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lobe of.computed tomography scan of the abdomen showing a large mass in the right lower lobe of the left lower lobe
gou031f4p	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
NAJMS-3-435-g001	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
10.1177_1553350613508228-fig2	photograph of the right eye of the patient showing a large lesion in the right lower lobe of the right.photograph of the right eye of the patient showing a large lesion in the right lower lobe of the left.photograph of the right eye of the patient showing a large lesion in the right eye of the right eye
AIAN-14-127-g002	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
DRJ-11-610-g007	histological section of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>
AMHSR-5-368-g006	histological examination of the biopsy showing a giant cell carcinoma in the dermis . <EOS>.histological examination of the biopsy showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
IJO-62-322-g002	preoperative radiograph of the patient showing a large right hip and left lower lobe and left lower lobe. <EOS>.preoperative radiograph of the patient showing a large right hip and left lower lobe and left lower lobe <EOS>.preoperative radiograph of the patient showing a large left hip and left lower lobe and left lower lobe <EOS>
rli-50-615-g007	ultrasound scan of the right eye showing a large cystic mass in the right lobe of the right lobe of.ultrasound scan of the right eye showing a large cystic mass in the right lobe of the right lower lobe.ultrasound scan of the right eye showing a large cystic mass in the right lobe of the right kidney with
0392-100X-35-62-g002	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the right lower.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the right kidney.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe of the right lobe
kjae-64-545-g001	magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right frontal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal lobe.magnetic resonance imaging of the brain showing a hyperintense lesion in the right frontal lobe and the right parietal region
kjae-59-214-g003	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
2045-8118-8-5-4	ultrasound image of the left eye showing a large mass in the right eye of the right kidney . <EOS>
1754-9493-7-25-6	ultrasound scan of the right eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the left eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe with a large cystic
sensors-15-00832f7	preoperative x-ray of the left knee showing a large right hip and left lower lobe <EOS>.preoperative x-ray of the left knee showing a large left hip and left lower lobe <EOS>.preoperative x-ray of the left hip showing a large left hip and left lower lobe <EOS>
tcrm-9-477Fig1	preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the left lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right upper lobe
10.1177_2058460115588099-fig2	axial ct scan of the abdomen showing a large mass in the right lobe of the right kidney . <EOS>
AIAN-17-433-g002	ecg of the patient in a patient with a history of the left coronary artery in the left coronary artery.ecg of the patient in a patient with a history of the left coronary artery in the left eye of.ecg of the patient in a patient with a history of the left coronary artery in the right eye of
1471-2490-6-13-6	histological section of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>
jkns-56-272-g001	magnetic resonance imaging of the brain in a patient with a high signal intensity in the right lobe of the.magnetic resonance imaging of the brain in a patient with a high signal intensity in the right frontal lobe and.magnetic resonance imaging of the brain in a patient with a high signal intensity in the left frontal lobe and
1752-1947-5-436-2	ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right lower lobe.ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right lobe of.ct scan of the abdomen showing a large cystic mass in the right lower lobe of the right kidney with
trd-78-272-g004	the lesion is seen in the right lobe of the right kidney . <EOS>.the lesion is seen in the right lobe of the right lobe of the right kidney . <EOS>
1750-1172-5-30-6	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
IJD-57-299-g006	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
rju10202	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right upper lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and
1757-1626-0002-0000008617-001	preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the left lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right upper lobe
1532-429X-13-S1-P162-2	ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right kidney.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right lower.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right lobe
cureus-0007-000000000321-i02	intraoperative picture <EOS>.intraoperative view of the lesion <EOS>.intraoperative view of the lesion in the left eye <EOS>
ATM-9-127-g002	ultrasound scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic mass.ultrasound scan of the right eye showing a large mass in the right lower lobe with a large cystic mass.ultrasound scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic lesion
ce-48-340-g004	histological section of the tumor showing a giant cell carcinoma in the dermis . <EOS>
1752-1947-2-379-2	ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of the.ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe with.ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe and
IJO-61-601-g003	ultrasound scan of the right eye showing a large cystic mass in the right lobe of the right lobe of.ultrasound scan of the right eye showing a large cystic mass in the right lobe of the right kidney ..ultrasound scan of the right eye showing a large cystic mass in the right lobe of the right kidney with
